Name,Realm,Character,Tier,Element,Type,Owned
Crossover,I,Warrior of Light,Unique,Holy,PHY,True
Shining Wave,I,Warrior of Light,Unique,NE,PHY,False
Radiant Sword,I,Warrior of Light,SSB,NE,PHY,False
Ultimate Shield,I,Warrior of Light,BSB,Holy,PHY,False
Shining Saber,I,Warrior of Light,OSB,Holy,PHY,True
Bitter End,I,Warrior of Light,USB,Holy,PHY,True
Radiant Buckler,I,Warrior of Light,USB,Holy,PHY,True
Hail of Light,I,Warrior of Light,USB,Holy,PHY,True
Shield of Light,I,Warrior of Light,Chain,Holy,PHY,True
Crystal Wave,I,Warrior of Light,Chain2,ALL,PHY MAG,True
Bright Overload,I,Warrior of Light,ASB,Holy,PHY,False
Radiant Soul,I,Warrior of Light,GL,Holy,PHY,False
Soul Keeper,I,Warrior of Light,GL2,Holy,PHY,True
Oversoul,I,Warrior of Light,AW,Holy,PHY,True
Photon Wave,I,Warrior of Light,Sync,Holy,PHY,True
True Shining Saber,I,Warrior of Light,Sync,Holy,PHY,True
Eternal Sword,I,Warrior of Light,OLB,Holy,PHY,False
Holy Raiment,I,Warrior of Light,GLB,Holy,PHY,False
Holy Chain,I,Warrior of Light,AD,Holy,PHY,False
Chaos Cyclone,I,Garland,Unique,Dark,PHY,False
Chaos Bringer,I,Garland,SSB,Dark,PHY,False
Bardiche,I,Garland,SSB,Dark,PHY,False
Twin Swords,I,Garland,BSB,Dark,PHY,True
Dark Rebirth,I,Garland,BSB,Dark,PHY,False
Discord Incarnate,I,Garland,OSB,Dark,PHY,False
Source of Hatred,I,Garland,USB,Dark,PHY,True
Chaos Genocide,I,Garland,USB,Dark,PHY,True
Bent on Destruction,I,Garland,Chain,Dark,PHY,True
Chain of Chaos,I,Garland,Chain3,ALL,PHY MAG,False
Scion of Malice,I,Garland,ASB,Dark,PHY,False
Love or Loathe,I,Garland,GL2,Dark,PHY,False
Glimpse of Chaos,I,Garland,GL,Dark,PHY,True
Soul of Chaos,I,Garland,AW,Dark,PHY,False
Sinister Reincarnation,I,Garland,Sync,Dark,PHY,False
Dark Raiment,I,Garland,GLB,Dark,NA,True
Dark Flash (Garland),I,Garland,GLB,Dark,PHY,False
Apex Soul of Chaos,I,Garland,AD,Dark,PHY,True
Sacred Prayer,I,Sarah,Unique,NE,NA,False
Ballad of Cornelia,I,Sarah,Unique,NE,NA,True
Ancient Lute,I,Sarah,SSB,NE,NA,False
Age-old Hymn,I,Sarah,BSB,NE,NA,True
Ballad of Light,I,Sarah,USB,NE,NA,False
Song of Reunion,I,Sarah,USB,NE,NA,True
Dawn Song,I,Sarah,USB,NE,NA,False
Crystal's Gleam,I,Sarah,USB,NE,NA,True
Light Rondo,I,Sarah,GL,NE,NA,True
Love of Cornelia,I,Sarah,GL,NE,NA,True
Melody of Light,I,Sarah,GL2,NE,NA,False
Grandiose Song,I,Sarah,AW,NE,NA,False
Far-Reaching Prayer,I,Sarah,Sync,NE,NA,False
Dancing Edge,I,Wol,Unique,NE,PHY,False
Arc Slash,I,Wol,SSB,NE,PHY,False
